email_text,label
URGENT: your crypto wallet requires immediate action. Please reset your password now at http://delivery-fee.example.com. Complete this within 24 hours to avoid losing access.,phishing
"Hello, regarding appointment confirmation, the invoice is attached for your records and no action is required. Kind regards, Project Team",legitimate
Final Warning: your university account needs urgent verification. Please download the security update at http://account-check.example.net/login. Complete this within 24 hours to avoid losing access.,phishing
Action Required: your crypto wallet needs urgent verification. Please download the security update at https://secure-portal.example.org/verify. This is the final warning before your service is terminated.,phishing
Action Required: your crypto wallet has been suspended. Please send your bank details at http://account-check.example.net/login. This is the final warning before your service is terminated.,phishing
"Security Alert: your account will be blocked. Please reset your password now at http://verify-login-security.example.com. If you ignore this message, access may be permanently removed.",phishing
"Good morning, regarding workshop registration, please find the attached notes from today's meeting. Best regards, Support Desk",legitimate
"Good morning, regarding meeting notes, the team call will take place through the calendar invitation. Please reply if you have questions.",legitimate
URGENT: your bank access has a failed payment. Please download the security update at http://delivery-fee.example.com. Do not delay because this verification window is limited.,phishing
"Dear student, regarding meeting notes, please submit your timesheet before the end of the week. Please reply if you have questions.",legitimate
Security Alert: your bank access needs urgent verification. Please login using the link at http://mailbox-quota.example.net. Do not delay because this verification window is limited.,phishing
Security Alert: your student portal is under security review. Please verify your password at http://delivery-fee.example.com. Complete this within 24 hours to avoid losing access.,phishing
"Hi team, regarding invoice copy, please find the attached notes from today's meeting. Please reply if you have questions.",legitimate
"Good morning, regarding team schedule, the lecture starts tomorrow at 09:00 in room B204. No password or payment information is required.",legitimate
"Final Warning: your crypto wallet is under security review. Please verify your password at http://delivery-fee.example.com. If you ignore this message, access may be permanently removed.",phishing
"Good morning, regarding course material, please submit your timesheet before the end of the week. Kind regards, Project Team",legitimate
Final Warning: your cloud storage has been suspended. Please confirm your username and password at http://mailbox-quota.example.net. This is the final warning before your service is terminated.,phishing
URGENT: your mailbox has been locked. Please login using the link at http://account-check.example.net/login. Do not delay because this verification window is limited.,phishing
"Action Required: your subscription has unusual login activity. Please download the security update at http://verify-login-security.example.com. If you ignore this message, access may be permanently removed.",phishing
"Dear student, regarding team schedule, please submit your timesheet before the end of the week. No password or payment information is required.",legitimate
Action Required: your company login has a failed payment. Please reset your password now at http://verify-login-security.example.com. This is the final warning before your service is terminated.,phishing
"Hello, regarding course material, your appointment has been confirmed for next Tuesday. Best regards, Support Desk",legitimate
"Hello, regarding delivery notice, the project deadline has been moved to Friday. Best regards, Support Desk",legitimate
